flows,products,is_subtotal
02 Imports,16.09 Other sources,False
02 Imports,17 Electricity,False
02 Imports,18 Heat,False
02 Imports,19 Total,True
02 Imports,20 Total Renewables,True
02 Imports,21 Modern renewables,True
03 Exports,01 Coal,True
03 Exports,01.01 Coking coal,False
03 Exports,01.02 Other bituminous coal,False
03 Exports,01.03 Sub-bituminous coal,False
03 Exports,01.04 Anthracite,False
03 Exports,01.05 Lignite,False
03 Exports,01.99 Coal nonspecified,False
03 Exports,02 Coal products,True
03 Exports,02.01 Coke oven coke,False
03 Exports,02.02 Gas coke,False
03 Exports,02.03 Coke oven gas,False
03 Exports,02.04 Blast furnace gas,False
03 Exports,02.05 Other recovered gases,False
03 Exports,02.06 Patent fuel,False
03 Exports,02.07 Coal tar,False
03 Exports,02.08 BKB/PB,False
03 Exports,03 Peat,False
03 Exports,04 Peat products,False
03 Exports,05 Oil shale and oil sands,False
03 Exports,06 Crude oil & NGL,True
03 Exports,06.01 Crude oil,False
03 Exports,06.02 Natural gas liquids,False
03 Exports,06.03 Refinery feedstocks,False
03 Exports,06.04 Additives/ oxygenates,False
03 Exports,06.05 Other hydrocarbons,False
03 Exports,07 Petroleum products,True
03 Exports,07.01 Motor gasoline,False
03 Exports,07.02 Aviation gasoline,False
03 Exports,07.03 Naphtha,False
03 Exports,07.04 Gasoline type jet fuel,False
03 Exports,07.05 Kerosene type jet fuel,False
03 Exports,07.06 Kerosene,False
03 Exports,07.07 Gas/diesel oil,False
03 Exports,07.08 Fuel oil,False
03 Exports,07.09 LPG,False
03 Exports,07.10 Refinery gas (not liquefied),False
03 Exports,07.11 Ethane,False
03 Exports,07.12 White spirit SBP,False
03 Exports,07.13 Lubricants,False
03 Exports,07.14 Bitumen,False
03 Exports,07.15 Paraffin  waxes,False
03 Exports,07.16 Petroleum coke,False
03 Exports,07.17 Other products,False
03 Exports,07.99 PetProd nonspecified,False
03 Exports,08 Gas,True
03 Exports,08.01 Natural gas,False
03 Exports,08.02 LNG,False
03 Exports,08.03 Gas works gas,False
03 Exports,08.99 Gas nonspecified,False
03 Exports,09 Nuclear,False
03 Exports,10 Hydro,False
03 Exports,11 Geothermal,False
03 Exports,12 Solar,True
03 Exports,12.01 of which: Photovoltaics,False
03 Exports,12.99 Solar nonspecified,False
03 Exports,"13 Tide, wave, ocean",False
03 Exports,14 Wind,False
03 Exports,15 Solid biomass,True
03 Exports,15.01 Fuelwood & woodwaste,False
03 Exports,15.02 Bagasse,False
03 Exports,15.03 Charcoal,False
03 Exports,15.04 Black liqour,False
03 Exports,15.05 Other biomass,False
03 Exports,16 Others,True
03 Exports,16.01 Biogas,False
03 Exports,16.02 Industrial waste,False
03 Exports,16.03 Municipal solid waste (renewable),False
03 Exports,16.04 Municipal solid waste (non-renewable),False
03 Exports,16.05 Biogasoline,False
03 Exports,16.06 Biodiesel,False
03 Exports,16.07 Bio jet kerosene,False
03 Exports,16.08 Other liquid biofuels,False
03 Exports,16.09 Other sources,False
03 Exports,17 Electricity,False
03 Exports,18 Heat,False
03 Exports,19 Total,True
03 Exports,20 Total Renewables,True
03 Exports,21 Modern renewables,True
04 International marine bunkers,01 Coal,True
04 International marine bunkers,01.01 Coking coal,False
04 International marine bunkers,01.02 Other bituminous coal,False
04 International marine bunkers,01.03 Sub-bituminous coal,False
04 International marine bunkers,01.04 Anthracite,False
04 International marine bunkers,01.05 Lignite,False
