sheet_name,sector_code_9th,sector_name,final_category_name,notes,active,esto_flow_override,category_type,measure,dashboard_note_override,dashboard_page,dashboard_level
hydrogen_loss_own_use_total,10_01_19_hydrogen_transformation,Hydrogen transformation,Hydrogen transformation,Synthetic ESTO and 9th hydrogen own-use electricity rows created from separate config,TRUE,,fuel,Losses (PJ),,Losses & own use,
refining_inputs,09_07_oil_refineries,Oil refineries,Oil refineries,Refinery inputs,TRUE,,fuel,Inputs (Petajoules),,Refining,1
trans_dist_inputs,10_02_transmission_and_distribution_losses,Transmission and distribution losses,Transmission and distribution losses,Transmission and distribution inputs,FALSE,,fuel,Inputs (Petajoules),,Losses & own use,
heat_inputs,"09_02_chp_plants, 09_x_heat_plants",Heat plants and CHP,Heat plants and CHP,Transformation heat inputs,TRUE,,fuel,Inputs (Petajoules),,Power,
production primary,01_production,Production,Production (primary),Primary resource production,TRUE,,fuel,Indigenous Production (Petajoules),,Supply,
imports secondary,02_imports,Imports,Imports (secondary),Secondary resource imports,TRUE,,fuel,Imports (Petajoules),,Supply,
exports secondary,03_exports,Exports,Exports (secondary),Secondary resource exports,TRUE,,fuel,Exports (Petajoules),,Supply,
exports primary,03_exports,Exports,Exports (primary),Primary resource exports,TRUE,,fuel,Exports (Petajoules),,Supply,
imports primary,02_imports,Imports,Imports (primary),Primary resource imports,TRUE,,fuel,Imports (Petajoules),,Supply,
Datacentres,"16_01_03_ai_training, 16_01_04_traditional_data_centres",Datacentres,Datacentres,,TRUE,,fuel,Final Energy Demand (Petajoules),,Buildings,
transfers_unallocated_out_fuel,08_transfers,Transfers,Transfers,Transformation transfer outputs by product,TRUE,,fuel,Outputs by Output Fuel (Petajoules),,Other transformation,
refinery_blending_out_fuel,08_transfers,Transfers,Transfers,Transformation transfer outputs by product,TRUE,,fuel,Outputs by Output Fuel (Petajoules),,Other transformation,
upstream_liquids_out_fuel,08_transfers,Transfers,Transfers,Transformation transfer outputs by product,TRUE,,fuel,Outputs by Output Fuel (Petajoules),,Other transformation,
transfers_unallocated_out_feed,08_transfers,Transfers,Transfers,Transformation transfer outputs by feedstock,TRUE,,fuel,Outputs by Feedstock Fuel (Petajoules),,Other transformation,
refinery_blending_out_feed,08_transfers,Transfers,Transfers,Transformation transfer outputs by feedstock,TRUE,,fuel,Outputs by Feedstock Fuel (Petajoules),,Other transformation,
upstream_liquids_out_feed,08_transfers,Transfers,Transfers,Transformation transfer outputs by feedstock,TRUE,,fuel,Outputs by Feedstock Fuel (Petajoules),,Other transformation,
transfers_unallocated_inputs,08_transfers,Transfers,Transfers,Transformation transfer process inputs,TRUE,,fuel,Inputs (Petajoules),,Other transformation,
refinery_blending_inputs,08_transfers,Transfers,Transfers,Transformation transfer process inputs,TRUE,,fuel,Inputs (Petajoules),,Other transformation,
upstream_liquids_inputs,08_transfers,Transfers,Transfers,Transformation transfer process inputs,TRUE,,fuel,Inputs (Petajoules),,Other transformation,
Chemical (incl. petrochemical),14_03_02_chemical_incl_petrochemical,Chemical (incl. petrochemical),Chemicals,,FALSE,,fuel,Final Energy Demand (Petajoules),,Industry sector,
Manufacturing,14_03_manufacturing,Manufacturing,Manufacturing,,TRUE,,sector,Final Energy Demand (Petajoules),,Industry sector,
Agriculture and fishing,16_02_agriculture_and_fishing,Agriculture and fishing,Agriculture and fishing,,TRUE,,fuel,Final Energy Demand (Petajoules),,Other sector,
